latitude,longitude
40.888992,-73.8892
40.822018,-73.95368
40.824814,-73.93677
40.895123,-73.85304
40.85029,-73.86555
40.650585,-73.92252
40.704033,-73.81711
40.709335,-73.768196
40.777504,-73.954956
40.65726,-73.90031
40.785366,-73.84482
40.60821,-74.06428
40.768696,-73.958435
40.72227,-73.9411
40.609535,-73.75372
40.674175,-73.81975
40.630814,-74.02508
40.681187,-73.81666
40.66743,-73.877815
40.72773,-73.90674
40.670208,-73.79156
40.58479,-74.0885
40.581764,-73.83831
40.85554,-73.890656
40.578938,-73.98522
40.58707,-73.95279
40.648567,-73.9705
40.673717,-73.97358
40.69103,-73.85074
40.691433,-73.89063
40.72488,-73.97827
40.692894,-73.90703
40.770313,-73.99141
40.823624,-73.92308
40.60988,-73.96338
40.646286,-73.96918
40.73013,-73.786705
40.644005,-74.07794
40.742226,-73.99702
40.702286,-73.89364
40.713795,-73.99342
40.83747,-73.94328
40.60059,-73.96137
40.61885,-74.02188
40.719967,-73.87631
40.70432,-73.75166
40.748974,-74.00324
40.830433,-73.90614
40.696384,-73.86017
40.822243,-73.88057
40.59657,-73.90794
40.702488,-73.98854
40.780857,-73.958824
40.828316,-73.93118
40.669724,-73.86097
40.6468,-73.88496
40.59626,-73.76773
40.75644,-73.87701
40.663918,-73.88899
40.63422,-74.12123
40.757065,-74.00106
40.753,-73.969894
40.77691,-73.95247
40.575077,-73.99885
40.683453,-73.855606
40.629246,-74.00531
40.61891,-73.96116
40.65501,-73.90506
40.68122,-73.94202
40.727875,-74.00543
40.742283,-74.004425
40.750587,-73.99091
40.861107,-73.89028
40.715553,-73.98976
40.637264,-73.9898
40.81706,-73.85072
40.632378,-73.94277
40.73535,-73.994194
40.598343,-73.98172
40.647346,-74.007996
40.837124,-73.909645
40.829697,-73.91313
40.563503,-74.13265
40.835705,-73.88875
40.68836,-73.91615
40.638733,-74.01337
40.69287,-73.81014
40.608288,-73.97778
40.601006,-74.076454
40.76177,-73.979065
40.683006,-73.75854
40.703033,-73.9599
40.67101,-73.92239
40.584003,-73.92157
40.63063,-74.00923
40.696033,-73.98453
40.815113,-73.92978
40.6722,-73.734604
40.77077,-73.91727
40.78367,-73.983635
40.79531,-73.93592
40.54267,-74.16477
40.679924,-73.88083
40.723747,-74.00612
40.846203,-73.83655
40.68376,-73.97297
40.664143,-73.78992
40.760822,-73.99832
40.742508,-73.91788
40.7501,-73.974945
40.68563,-73.87609
40.743824,-73.979515
40.75164,-73.97418
40.736732,-73.85451
40.694675,-73.73228
40.754986,-73.74535
40.832035,-73.90289
40.830223,-73.908966
40.848637,-73.91169
40.746235,-73.98407
40.736176,-73.71372
40.65067,-73.95248
40.65317,-73.866875
40.737957,-73.998245
40.75117,-73.9152
40.667885,-73.97413
40.8122,-73.94226
40.78169,-73.842316
40.586494,-74.092125
40.582306,-73.953995
40.885952,-73.8279
40.67392,-73.91012
40.625786,-74.15491
40.62137,-74.03193
40.66605,-73.81525
40.72952,-74.00514
40.61115,-73.929184
40.60223,-73.93427
40.767113,-73.90405
40.71392,-73.991714
40.72106,-73.99821
40.831413,-73.92893
40.73502,-73.896034
40.880135,-73.903946
40.681286,-73.76979
40.817978,-73.806786
40.722816,-73.993095
40.86268,-73.90905
40.866814,-73.931595
40.741028,-73.99417
40.613586,-74.08267
40.604027,-73.89875
40.623672,-74.03193
40.814526,-73.83672
40.68481,-73.99177
40.715927,-73.957634
40.71262,-74.00944
40.865387,-73.893456
40.81782,-73.915276
40.790623,-73.942444
40.632732,-73.90763
40.82672,-73.87393
40.570778,-74.09029
40.739674,-73.934586
40.632675,-74.116844
40.6769,-73.97225
40.737995,-73.85098
40.843906,-73.92413
40.839867,-73.94064
40.74854,-73.97315
40.671825,-73.774506
40.752743,-73.97511
40.633995,-74.12415
40.605934,-74.000465
40.757385,-73.88855
40.68963,-73.98575
40.63222,-73.88793
40.764355,-73.72518
40.73632,-73.85631
40.76432,-73.9772
40.651367,-73.95592
40.723286,-73.91271
40.856625,-73.8319
40.759514,-73.99926
40.602974,-74.00808
40.651737,-73.885544
40.66757,-73.97772
40.632847,-73.928375
40.680965,-73.903175
40.821976,-73.9
40.644196,-73.95467
40.694214,-73.95932
40.752064,-73.97351
40.769848,-73.82043
40.69096,-73.92884
40.687443,-73.92363
40.751007,-73.89199
40.721645,-74.00831
40.67794,-73.96567
40.844982,-73.92067
40.728947,-73.92793
40.684666,-73.96404
40.74289,-73.75927
40.86804,-73.879105
40.84768,-73.91237
40.756866,-73.96551
40.759064,-73.91229
40.64182,-73.96833
40.7211,-73.98597
40.761272,-73.95571
40.664997,-73.84406
