borough,vehicle_type_1,crash_severity,crash_count
BROOKLYN,pickup,Non-Fatal,2
BROOKLYN,E-Scooter,Fatal,2
BROOKLYN,Sweeper,Non-Fatal,2
QUEENS,Electric m,Non-Fatal,2
BROOKLYN,Garbage Tr,Non-Fatal,2
STATEN ISLAND,MTA BUS,Non-Fatal,2
BROOKLYN,STREET SWE,Non-Fatal,2
MANHATTAN,Self Insur,Non-Fatal,2
BROOKLYN,SPRINTER V,Non-Fatal,2
BRONX,FDNY EMS,Non-Fatal,2
QUEENS,comme,Non-Fatal,2
QUEENS,EMS,Non-Fatal,2
MANHATTAN,Rescu,Non-Fatal,2
MANHATTAN,fire truck,Non-Fatal,2
MANHATTAN,LIGHT,Non-Fatal,2
MANHATTAN,REFRI,Non-Fatal,2
BRONX,box t,Non-Fatal,2
MANHATTAN,self,Non-Fatal,2
BRONX,tract,Non-Fatal,2
MANHATTAN,firet,Non-Fatal,2
BROOKLYN,WHITE,Non-Fatal,2
BRONX,unk,Non-Fatal,2
BRONX,Pick,Non-Fatal,2
BROOKLYN,US Po,Non-Fatal,2
BRONX,STREE,Non-Fatal,2
QUEENS,tow t,Non-Fatal,2
STATEN ISLAND,UNKNOWN,Fatal,2
STATEN ISLAND,SUV,Non-Fatal,2
BROOKLYN,comm,Non-Fatal,2
BRONX,Golf,Non-Fatal,2
BRONX,SCOOTER,Fatal,2
BROOKLYN,Ford,Non-Fatal,2
QUEENS,fork,Non-Fatal,2
BRONX,trailer,Non-Fatal,2
BROOKLYN,LIVERY VEHICLE,Fatal,2
BROOKLYN,FEDEX,Non-Fatal,2
QUEENS,OMNIB,Non-Fatal,2
MANHATTAN,Com,Non-Fatal,2
STATEN ISLAND,Beverage Truck,Non-Fatal,2
BRONX,OTHER,Fatal,2
MANHATTAN,G COM,Non-Fatal,2
MANHATTAN,Wagon,Non-Fatal,2
BROOKLYN,Chassis Cab,Fatal,2
MANHATTAN,TANK,Non-Fatal,2
BROOKLYN,suburban,Non-Fatal,2
BRONX,E-bike,Non-Fatal,2
BRONX,DUMP TRUCK,Non-Fatal,2
BROOKLYN,AMBULANCE,Fatal,2
MANHATTAN,MOPD,Non-Fatal,2
QUEENS,scooter,Non-Fatal,2
BRONX,tk,Non-Fatal,2
QUEENS,Pick up,Non-Fatal,2
QUEENS,Concrete Mixer,Fatal,2
QUEENS,PICK-UP TR,Non-Fatal,2
BRONX,NYS AMBULA,Non-Fatal,2
BROOKLYN,USPS truck,Non-Fatal,2
STATEN ISLAND,trailer,Non-Fatal,2
MANHATTAN,e-scooter,Non-Fatal,2
BROOKLYN,GLBEN,Non-Fatal,2
BROOKLYN,POWER SHOV,Non-Fatal,2
QUEENS,power shov,Non-Fatal,2
STATEN ISLAND,Fire Truck,Non-Fatal,2
BROOKLYN,FDNY ENGIN,Non-Fatal,2
BRONX,Delivery t,Non-Fatal,2
BROOKLYN,MTA bus,Non-Fatal,2
STATEN ISLAND,FDNY TRUCK,Non-Fatal,2
MANHATTAN,GE/SC,Non-Fatal,1
QUEENS,U-HAU,Non-Fatal,1
BROOKLYN,trk,Non-Fatal,1
MANHATTAN,NAVIG,Non-Fatal,1
BRONX,BACKH,Non-Fatal,1
STATEN ISLAND,cater,Non-Fatal,1
BRONX,pick,Non-Fatal,1
QUEENS,A-ONE,Non-Fatal,1
BROOKLYN,stree,Non-Fatal,1
BROOKLYN,e sco,Non-Fatal,1
QUEENS,OMR,Non-Fatal,1
STATEN ISLAND,CITY,Non-Fatal,1
MANHATTAN,STREE,Non-Fatal,1
MANHATTAN,const,Non-Fatal,1
STATEN ISLAND,TRAC,Non-Fatal,1
BRONX,3-whe,Non-Fatal,1
MANHATTAN,E-MOT,Non-Fatal,1
BRONX,REP,Non-Fatal,1
QUEENS,E SCO,Non-Fatal,1
MANHATTAN,com,Non-Fatal,1
MANHATTAN,2000,Non-Fatal,1
BRONX,DIESE,Non-Fatal,1
MANHATTAN,Concrete Mixer,Fatal,1
BROOKLYN,MAIL,Non-Fatal,1
STATEN ISLAND,Fd fi,Non-Fatal,1
MANHATTAN,Bicyc,Non-Fatal,1
BROOKLYN,AMbul,Non-Fatal,1
MANHATTAN,sgws,Non-Fatal,1
MANHATTAN,3 Whe,Non-Fatal,1
BROOKLYN,SCOO,Non-Fatal,1
BROOKLYN,HI TA,Non-Fatal,1
BROOKLYN,�MBU,Non-Fatal,1
QUEENS,TAXI,Fatal,1
QUEENS,ups t,Non-Fatal,1
BRONX,GOLF,Non-Fatal,1
MANHATTAN,GREEN,Non-Fatal,1
MANHATTAN,Pick-,Non-Fatal,1
BROOKLYN,Spc,Non-Fatal,1
MANHATTAN,CON E,Non-Fatal,1
BRONX,COURI,Non-Fatal,1
BROOKLYN,MCY B,Non-Fatal,1
BROOKLYN,CMIX,Non-Fatal,1
BROOKLYN,12 PA,Non-Fatal,1
MANHATTAN,Backh,Non-Fatal,1
MANHATTAN,Road,Non-Fatal,1
MANHATTAN,garba,Non-Fatal,1
BRONX,power,Non-Fatal,1
BRONX,st,Non-Fatal,1
MANHATTAN,REPAI,Non-Fatal,1
BRONX,NYC F,Non-Fatal,1
MANHATTAN,Minicycle,Non-Fatal,1
BRONX,PSP,Non-Fatal,1
BROOKLYN,Mecha,Non-Fatal,1
BRONX,sweep,Non-Fatal,1
BRONX,1S,Non-Fatal,1
QUEENS,cm,Non-Fatal,1
MANHATTAN,road,Non-Fatal,1
QUEENS,BACK,Non-Fatal,1
BROOKLYN,NYS A,Non-Fatal,1
QUEENS,suv,Non-Fatal,1
BROOKLYN,CHEVR,Non-Fatal,1
MANHATTAN,Barri,Non-Fatal,1
MANHATTAN,AMBUL,Fatal,1
BROOKLYN,PUMP,Non-Fatal,1
MANHATTAN,Log,Non-Fatal,1
BRONX,ems b,Non-Fatal,1
MANHATTAN,SE,Non-Fatal,1
QUEENS,Unkno,Non-Fatal,1
MANHATTAN,scoot,Non-Fatal,1
QUEENS,FRIEG,Non-Fatal,1
STATEN ISLAND,TRK,Non-Fatal,1
MANHATTAN,Shove,Non-Fatal,1
MANHATTAN,REFR,Non-Fatal,1
QUEENS,FED E,Non-Fatal,1
BRONX,Garbage or Refuse,Fatal,1
MANHATTAN,CHART,Non-Fatal,1
MANHATTAN,3 WHE,Non-Fatal,1
QUEENS,atv p,Non-Fatal,1
STATEN ISLAND,comm,Non-Fatal,1
QUEENS,Road,Non-Fatal,1
MANHATTAN,passe,Non-Fatal,1
BROOKLYN,TRACK EXCA,Non-Fatal,1
BROOKLYN,Ebike,Non-Fatal,1
QUEENS,VAV,Non-Fatal,1
BRONX,TKTR,Non-Fatal,1
MANHATTAN,MTA B,Non-Fatal,1
MANHATTAN,US Po,Non-Fatal,1
QUEENS,yy,Non-Fatal,1
BROOKLYN,N/A,Non-Fatal,1
MANHATTAN,POLIC,Non-Fatal,1
BROOKLYN,MAC T,Non-Fatal,1
QUEENS,COMM,Non-Fatal,1
BROOKLYN,plow,Non-Fatal,1
BROOKLYN,VANET,Non-Fatal,1
BROOKLYN,Smart,Non-Fatal,1
BROOKLYN,U-Hau,Non-Fatal,1
MANHATTAN,WHIT,Non-Fatal,1
STATEN ISLAND,PICKU,Non-Fatal,1
QUEENS,E ONE,Non-Fatal,1
QUEENS,GARBA,Non-Fatal,1
BROOKLYN,g spc,Non-Fatal,1
QUEENS,RV/VAN,Non-Fatal,1
STATEN ISLAND,TRAC.,Non-Fatal,1
BRONX,pas,Non-Fatal,1
BRONX,van t,Non-Fatal,1
QUEENS,TRANS,Non-Fatal,1
BRONX,UTILITY TR,Non-Fatal,1
MANHATTAN,postal ser,Non-Fatal,1
QUEENS,Livestock Rack,Non-Fatal,1
QUEENS,Backh,Non-Fatal,1
QUEENS,Flat Rack,Fatal,1
MANHATTAN,D/V WB,Non-Fatal,1
MANHATTAN,Mail,Non-Fatal,1
MANHATTAN,FREIGHTLIN,Non-Fatal,1
BRONX,Wh Ford co,Non-Fatal,1
BROOKLYN,DOT EQUIPM,Non-Fatal,1
MANHATTAN,Bucket Tru,Non-Fatal,1
QUEENS,FOOD CART,Non-Fatal,1
QUEENS,CHERV,Non-Fatal,1
QUEENS,escavator,Non-Fatal,1
QUEENS,MAIL CARRI,Non-Fatal,1
BRONX,PICK UP,Non-Fatal,1
BROOKLYN,TL,Non-Fatal,1
BRONX,Sanitation,Non-Fatal,1
QUEENS,VAN/TRUCK,Non-Fatal,1
BROOKLYN,Yamaha,Non-Fatal,1
QUEENS,dilevery t,Non-Fatal,1
MANHATTAN,PKUP,Non-Fatal,1
BROOKLYN,Postal tru,Non-Fatal,1
BRONX,E-Scooter,Fatal,1
BROOKLYN,Razor Scoo,Non-Fatal,1
QUEENS,WORK VAN,Non-Fatal,1
QUEENS,Cement Tru,Non-Fatal,1
MANHATTAN,Pass,Non-Fatal,1
MANHATTAN,Fork lift,Non-Fatal,1
BROOKLYN,U-Haul,Non-Fatal,1
BROOKLYN,NYS AMBULA,Non-Fatal,1
BROOKLYN,HOUSE ON W,Non-Fatal,1
BROOKLYN,MOTORSCOOT,Non-Fatal,1
BROOKLYN,AMBULETTE,Non-Fatal,1
MANHATTAN,DELIVERY T,Non-Fatal,1
QUEENS,UPS,Non-Fatal,1
MANHATTAN,Open Body,Fatal,1
QUEENS,MC,Non-Fatal,1
BROOKLYN,gas moped,Non-Fatal,1
STATEN ISLAND,GMC ECOM,Non-Fatal,1
BROOKLYN,DELV WH,Non-Fatal,1
MANHATTAN,Small Bus,Non-Fatal,1
STATEN ISLAND,PICK UP,Non-Fatal,1
QUEENS,nyc EMS,Non-Fatal,1
BRONX,LOCOMOTIVE,Non-Fatal,1
BROOKLYN,Collection,Non-Fatal,1
BROOKLYN,MOTORIZEDS,Non-Fatal,1
MANHATTAN,FDNY ambul,Non-Fatal,1
BRONX,Govt P/U T,Non-Fatal,1
MANHATTAN,HERTZ RAM,Non-Fatal,1
BRONX,Delivery V,Non-Fatal,1
MANHATTAN,FDNY VEHIC,Non-Fatal,1
BROOKLYN,PICK-UP,Non-Fatal,1
BRONX,AMBULANCE`,Non-Fatal,1
MANHATTAN,FORD SPRIN,Non-Fatal,1
MANHATTAN,DODGE RAM,Non-Fatal,1
MANHATTAN,RAM,Non-Fatal,1
QUEENS,seated sco,Non-Fatal,1
QUEENS,Red moped,Non-Fatal,1
BROOKLYN,TRANSPORT,Non-Fatal,1
MANHATTAN,Bearcat,Non-Fatal,1
STATEN ISLAND,MAIL TRUCK,Non-Fatal,1
STATEN ISLAND,passenger,Non-Fatal,1
BROOKLYN,Fdny Ems T,Non-Fatal,1
QUEENS,FDNY truck,Non-Fatal,1
BROOKLYN,utility,Non-Fatal,1
QUEENS,house on w,Non-Fatal,1
MANHATTAN,Van Truck,Non-Fatal,1
BROOKLYN,Electric M,Non-Fatal,1
QUEENS,Fire engin,Non-Fatal,1
BRONX,delivery t,Non-Fatal,1
BROOKLYN,MTA Bus,Non-Fatal,1
BRONX,Gas Moped,Non-Fatal,1
MANHATTAN,PICK UP TR,Non-Fatal,1
BROOKLYN,UNKWOWN,Non-Fatal,1
QUEENS,DELIVERY T,Non-Fatal,1
BROOKLYN,utility ve,Non-Fatal,1
QUEENS,Electric s,Non-Fatal,1
BROOKLYN,MTA TRANSI,Non-Fatal,1
BROOKLYN,FDNY #226,Non-Fatal,1
STATEN ISLAND,Unkown,Non-Fatal,1
QUEENS,TRANSIT,Non-Fatal,1
MANHATTAN,PICK-UP TR,Non-Fatal,1
BROOKLYN,ford,Non-Fatal,1
QUEENS,NYC TRANSI,Non-Fatal,1
MANHATTAN,ems truck,Non-Fatal,1
BROOKLYN,Ford Van,Non-Fatal,1
BROOKLYN,GAS MOPED,Non-Fatal,1
BROOKLYN,Honda HRV,Non-Fatal,1
BROOKLYN,utility tr,Non-Fatal,1
BROOKLYN,G,Non-Fatal,1
BRONX,GOVERNMENT,Non-Fatal,1
BRONX,Cargo van,Non-Fatal,1
BROOKLYN,EMS Truck,Non-Fatal,1
MANHATTAN,BOBCAT,Non-Fatal,1
MANHATTAN,MC,Non-Fatal,1
BRONX,X COM,Non-Fatal,1
MANHATTAN,NYPD TOW T,Non-Fatal,1
BROOKLYN,Sprinter v,Non-Fatal,1
QUEENS,Econoline,Non-Fatal,1
STATEN ISLAND,Fork lift,Non-Fatal,1
BRONX,box truck,Non-Fatal,1
QUEENS,FORD TRANS,Non-Fatal,1
QUEENS,Usps truck,Non-Fatal,1
QUEENS,postal tru,Non-Fatal,1
QUEENS,Pas,Non-Fatal,1
BRONX,FIRE ENGIN,Non-Fatal,1
QUEENS,Thomas,Non-Fatal,1
MANHATTAN,SCOOTOR,Non-Fatal,1
BROOKLYN,FDNY- Fire,Non-Fatal,1
BROOKLYN,OML,Non-Fatal,1
QUEENS,MOTORIZEDS,Non-Fatal,1
QUEENS,SCHOO LBUS,Non-Fatal,1
MANHATTAN,PETIT CAB,Non-Fatal,1
BROOKLYN,Box Trucki,Non-Fatal,1
QUEENS,ems truck,Non-Fatal,1
BROOKLYN,CITY TRUCK,Non-Fatal,1
BRONX,yellow bus,Non-Fatal,1
MANHATTAN,FORK LIFT,Non-Fatal,1
STATEN ISLAND,Rec Vehicl,Non-Fatal,1
BRONX,PICK-UP,Non-Fatal,1
BROOKLYN,Surburban,Non-Fatal,1
BROOKLYN,Gas dirt b,Non-Fatal,1
QUEENS,Comp skid,Non-Fatal,1
MANHATTAN,TRAILER CA,Non-Fatal,1
BROOKLYN,NYC School,Non-Fatal,1
BROOKLYN,YELLOWBUS,Non-Fatal,1
QUEENS,Postal tru,Non-Fatal,1
BROOKLYN,Skid steer,Non-Fatal,1
STATEN ISLAND,UNKN,Non-Fatal,1
BROOKLYN,Fed Ex Tru,Non-Fatal,1
BROOKLYN,sprinter v,Non-Fatal,1
MANHATTAN,0,Non-Fatal,1
QUEENS,LIVERY,Non-Fatal,1
BRONX,Unknown,Non-Fatal,1
STATEN ISLAND,Mailtruck,Non-Fatal,1
BRONX,SEMI COMM,Non-Fatal,1
BROOKLYN,omr,Non-Fatal,1
MANHATTAN,HOSRE,Non-Fatal,1
BROOKLYN,FRONT,Non-Fatal,1
BROOKLYN,Ambu,Non-Fatal,1
BROOKLYN,f15,Non-Fatal,1
BROOKLYN,YW PO,Non-Fatal,1
BROOKLYN,FLATB,Non-Fatal,1
MANHATTAN,CASE,Non-Fatal,1
MANHATTAN,SD,Non-Fatal,1
BROOKLYN,hi-lo,Non-Fatal,1
MANHATTAN,Garba,Non-Fatal,1
BROOKLYN,renta,Non-Fatal,1
STATEN ISLAND,AMBU,Non-Fatal,1
MANHATTAN,FLATB,Non-Fatal,1
MANHATTAN,VAN/T,Non-Fatal,1
BRONX,Power,Non-Fatal,1
MANHATTAN,VAN T,Non-Fatal,1
MANHATTAN,BULLD,Non-Fatal,1
QUEENS,inter,Non-Fatal,1
MANHATTAN,PET,Non-Fatal,1
MANHATTAN,freig,Non-Fatal,1
BRONX,MTA C,Non-Fatal,1
BROOKLYN,SURET,Non-Fatal,1
MANHATTAN,Utili,Fatal,1
MANHATTAN,BROOM,Non-Fatal,1
BROOKLYN,movin,Non-Fatal,1
BROOKLYN,Sweep,Non-Fatal,1
BROOKLYN,VAN/T,Non-Fatal,1
MANHATTAN,SCOM,Non-Fatal,1
QUEENS,Motor,Non-Fatal,1
STATEN ISLAND,REFRI,Non-Fatal,1
QUEENS,frh,Non-Fatal,1
MANHATTAN,Posta,Non-Fatal,1
MANHATTAN,RGS,Non-Fatal,1
STATEN ISLAND,FIRET,Non-Fatal,1
BROOKLYN,PU,Non-Fatal,1
MANHATTAN,JEEP,Non-Fatal,1
QUEENS,ram,Non-Fatal,1
MANHATTAN,DEIV,Non-Fatal,1
BROOKLYN,food truck,Non-Fatal,1
QUEENS,FEDEX,Non-Fatal,1
BROOKLYN,spec,Non-Fatal,1
QUEENS,sanit,Non-Fatal,1
MANHATTAN,ford,Non-Fatal,1
BROOKLYN,Dumps,Non-Fatal,1
QUEENS,nyfd,Non-Fatal,1
BROOKLYN,high,Non-Fatal,1
QUEENS,LSA,Non-Fatal,1
BRONX,G Sem,Non-Fatal,1
MANHATTAN,Utili,Non-Fatal,1
MANHATTAN,PICK-UP TRUCK,Fatal,1
MANHATTAN,util,Non-Fatal,1
MANHATTAN,elect,Non-Fatal,1
BROOKLYN,cemen,Non-Fatal,1
BRONX,C0MME,Non-Fatal,1
BROOKLYN,4 axe,Non-Fatal,1
MANHATTAN,winne,Non-Fatal,1
STATEN ISLAND,MAXIM,Non-Fatal,1
BROOKLYN,Nypd,Non-Fatal,1
BROOKLYN,passa,Non-Fatal,1
BROOKLYN,Stake,Non-Fatal,1
QUEENS,Vanette,Non-Fatal,1
STATEN ISLAND,BK,Non-Fatal,1
MANHATTAN,CMIX,Non-Fatal,1
QUEENS,fd tr,Non-Fatal,1
QUEENS,Box t,Non-Fatal,1
QUEENS,OML,Non-Fatal,1
BROOKLYN,amulance,Non-Fatal,1
MANHATTAN,OMNIB,Non-Fatal,1
STATEN ISLAND,BOX T,Non-Fatal,1
QUEENS,semi,Non-Fatal,1
QUEENS,mta B,Non-Fatal,1
STATEN ISLAND,SEDAN,Non-Fatal,1
BRONX,Sanit,Non-Fatal,1
MANHATTAN,ROOD,Non-Fatal,1
BRONX,Motor Home,Non-Fatal,1
QUEENS,CAT.,Non-Fatal,1
QUEENS,g scl,Non-Fatal,1
MANHATTAN,DEPT VAN #,Non-Fatal,1
BRONX,CAMP,Non-Fatal,1
QUEENS,TRK,Non-Fatal,1
MANHATTAN,omm,Non-Fatal,1
QUEENS,SKID-,Non-Fatal,1
BROOKLYN,DIRT,Non-Fatal,1
STATEN ISLAND,bobca,Non-Fatal,1
MANHATTAN,KUBOT,Non-Fatal,1
BROOKLYN,Hearse,Non-Fatal,1
BROOKLYN,APPOR,Non-Fatal,1
BRONX,St,Non-Fatal,1
QUEENS,pay loader,Non-Fatal,1
QUEENS,ECONO,Non-Fatal,1
BRONX,prks,Non-Fatal,1
BROOKLYN,REFG,Non-Fatal,1
QUEENS,KENWO,Non-Fatal,1
QUEENS,TANKE,Non-Fatal,1
MANHATTAN,Const,Non-Fatal,1
BROOKLYN,Sprin,Non-Fatal,1
QUEENS,COMMU,Non-Fatal,1
MANHATTAN,PAYLO,Non-Fatal,1
MANHATTAN,SCOOTER GA,Non-Fatal,1
QUEENS,P/SH,Non-Fatal,1
BRONX,NYS Ambula,Non-Fatal,1
MANHATTAN,Post offic,Non-Fatal,1
MANHATTAN,post offic,Non-Fatal,1
MANHATTAN,Motorbike,Fatal,1
MANHATTAN,AMBULANE,Non-Fatal,1
BROOKLYN,USPS posta,Non-Fatal,1
QUEENS,USPS truck,Non-Fatal,1
MANHATTAN,GEN  AMBUL,Non-Fatal,1
MANHATTAN,Work truck,Non-Fatal,1
MANHATTAN,WINNIEBAGO,Non-Fatal,1
STATEN ISLAND,police rep,Non-Fatal,1
QUEENS,DELIVERY V,Non-Fatal,1
QUEENS,forlift,Non-Fatal,1
QUEENS,FDNY FIRET,Non-Fatal,1
BROOKLYN,POSTAL TRU,Non-Fatal,1
MANHATTAN,CATER,Non-Fatal,1
BROOKLYN,SWEEPER TR,Non-Fatal,1
QUEENS,Sprinter V,Non-Fatal,1
MANHATTAN,STREET CLE,Non-Fatal,1
MANHATTAN,Usaa,Non-Fatal,1
MANHATTAN,FORD F-150,Non-Fatal,1
MANHATTAN,E-bike,Non-Fatal,1
MANHATTAN,MOVING TRU,Non-Fatal,1
BROOKLYN,Ice cream,Non-Fatal,1
QUEENS,EMS Ambule,Non-Fatal,1
BROOKLYN,Motor Scoo,Non-Fatal,1
MANHATTAN,FIRE DEPT,Non-Fatal,1
QUEENS,pick up tr,Non-Fatal,1
BROOKLYN,USPS/GOVT,Non-Fatal,1
MANHATTAN,PSD,Non-Fatal,1
MANHATTAN,Horse carr,Non-Fatal,1
QUEENS,U-Haul min,Non-Fatal,1
BROOKLYN,AMBALANCE,Non-Fatal,1
BRONX,SMART CAR,Non-Fatal,1
BROOKLYN,UPS TRUCK,Non-Fatal,1
MANHATTAN,street swe,Non-Fatal,1
BRONX,Tractor Tr,Non-Fatal,1
STATEN ISLAND,Box Truck,Fatal,1
BROOKLYN,SEMI TRUCK,Non-Fatal,1
MANHATTAN,Pick up Tr,Non-Fatal,1
BRONX,Postal ser,Non-Fatal,1
QUEENS,FLYWING MO,Non-Fatal,1
MANHATTAN,CARGO VAN,Non-Fatal,1
BROOKLYN,Cement Tru,Non-Fatal,1
BRONX,electric s,Non-Fatal,1
BRONX,OML/OMNIBU,Non-Fatal,1
BROOKLYN,Fuso,Non-Fatal,1
BROOKLYN,UTILITY WH,Non-Fatal,1
MANHATTAN,na,Non-Fatal,1
QUEENS,Ford FF,Non-Fatal,1
BROOKLYN,White subu,Non-Fatal,1
BROOKLYN,Utility tr,Non-Fatal,1
BRONX,Go kart,Non-Fatal,1
QUEENS,STREET SWE,Non-Fatal,1
BROOKLYN,GOLF CART,Non-Fatal,1
BROOKLYN,FOOD TRUCK,Non-Fatal,1
BRONX,SKID STEER,Non-Fatal,1
BROOKLYN,amazon tru,Non-Fatal,1
BRONX,PASS,Non-Fatal,1
BROOKLYN,ALL TERRAI,Non-Fatal,1
MANHATTAN,Fdny Fire,Non-Fatal,1
BROOKLYN,SKID LOADE,Non-Fatal,1
MANHATTAN,Pro master,Non-Fatal,1
MANHATTAN,EMS bus,Non-Fatal,1
BRONX,Lime Scoot,Non-Fatal,1
BROOKLYN,Utility ve,Non-Fatal,1
MANHATTAN,NYS Ambula,Non-Fatal,1
BRONX,Escooter,Non-Fatal,1
BRONX,HWH,Non-Fatal,1
MANHATTAN,FOOD CART,Non-Fatal,1
BRONX,FUSO TRUCK,Non-Fatal,1
BROOKLYN,Trolley ri,Non-Fatal,1
QUEENS,con ed tru,Non-Fatal,1
BRONX,AMBULANE,Non-Fatal,1
BRONX,FLATBED TO,Non-Fatal,1
QUEENS,Forklift v,Non-Fatal,1
STATEN ISLAND,AMAZON TRU,Non-Fatal,1
BROOKLYN,AMBULENCE,Non-Fatal,1
MANHATTAN,moped scoo,Non-Fatal,1
BROOKLYN,Landscapin,Non-Fatal,1
BROOKLYN,MOVING TRU,Non-Fatal,1
QUEENS,USPS small,Non-Fatal,1
BROOKLYN,freight,Non-Fatal,1
QUEENS,LADDER,Non-Fatal,1
BRONX,NYC FDNY #,Non-Fatal,1
MANHATTAN,Rmp,Non-Fatal,1
BROOKLYN,Utility,Non-Fatal,1
MANHATTAN,Boom Lift,Fatal,1
BRONX,Lim,Non-Fatal,1
MANHATTAN,E scooter,Non-Fatal,1
MANHATTAN,E-SCOOTER,Non-Fatal,1
BROOKLYN,Cement tru,Non-Fatal,1
BRONX,Pickup tru,Non-Fatal,1
BROOKLYN,Power Shov,Non-Fatal,1
MANHATTAN,Dept  Van,Non-Fatal,1
BRONX,E bike,Non-Fatal,1
STATEN ISLAND,TRLR,Non-Fatal,1
QUEENS,SEDAN,Non-Fatal,1
BROOKLYN,van truck,Non-Fatal,1
MANHATTAN,COMM VAN,Non-Fatal,1
BRONX,WORKH,Non-Fatal,1
QUEENS,GOVER,Non-Fatal,1
BROOKLYN,DUMPT,Non-Fatal,1
MANHATTAN,WINNE,Non-Fatal,1
MANHATTAN,dp,Non-Fatal,1
BROOKLYN,MTA B,Non-Fatal,1
MANHATTAN,US MA,Non-Fatal,1
QUEENS,FD TR,Non-Fatal,1
BROOKLYN,MO PE,Non-Fatal,1
BROOKLYN,Comix,Non-Fatal,1
STATEN ISLAND,POIS,Non-Fatal,1
MANHATTAN,1,Non-Fatal,1
MANHATTAN,mail,Non-Fatal,1
BROOKLYN,FIRER,Non-Fatal,1
QUEENS,Schoo,Non-Fatal,1
STATEN ISLAND,TC,Non-Fatal,1
QUEENS,Tow Truck / Wrecker,Fatal,1
MANHATTAN,tr,Non-Fatal,1
QUEENS,985,Non-Fatal,1
BRONX,UTILI,Non-Fatal,1
QUEENS,OMT,Non-Fatal,1
MANHATTAN,NT TR,Non-Fatal,1
BROOKLYN,CEMEN,Non-Fatal,1
MANHATTAN,RUBBE,Non-Fatal,1
BROOKLYN,Motorbike,Fatal,1
BRONX,CATER,Non-Fatal,1
BRONX,deliv,Non-Fatal,1
QUEENS,CITY,Non-Fatal,1
BROOKLYN,RESCU,Non-Fatal,1
MANHATTAN,EMRGN,Non-Fatal,1
STATEN ISLAND,usps,Non-Fatal,1
MANHATTAN,Parce,Non-Fatal,1
QUEENS,trk,Non-Fatal,1
BRONX,passe,Non-Fatal,1
MANHATTAN,trac,Non-Fatal,1
BROOKLYN,e tow,Non-Fatal,1
BRONX,SPC,Non-Fatal,1
QUEENS,elect,Non-Fatal,1
BROOKLYN,3 WHE,Non-Fatal,1
MANHATTAN,delv,Non-Fatal,1
BROOKLYN,bobct,Non-Fatal,1
MANHATTAN,STERL,Non-Fatal,1
MANHATTAN,FORK,Non-Fatal,1
QUEENS,trl,Non-Fatal,1
BROOKLYN,r/v,Non-Fatal,1
BRONX,rmp,Non-Fatal,1
BRONX,CARGO,Non-Fatal,1
QUEENS,AERIA,Non-Fatal,1
MANHATTAN,fdny truck,Non-Fatal,1
MANHATTAN,Unkow,Non-Fatal,1
QUEENS,forkl,Non-Fatal,1
BROOKLYN,LIEBH,Non-Fatal,1
STATEN ISLAND,REFG,Non-Fatal,1
QUEENS,te,Non-Fatal,1
MANHATTAN,5X8 T,Non-Fatal,1
QUEENS,cargo,Non-Fatal,1
BRONX,CAT P,Non-Fatal,1
MANHATTAN,COUPE,Non-Fatal,1
QUEENS,van w,Non-Fatal,1
QUEENS,Work,Non-Fatal,1
BROOKLYN,WORK,Non-Fatal,1
BROOKLYN,SUBR,Non-Fatal,1
MANHATTAN,FED E,Non-Fatal,1
QUEENS,G TOW,Non-Fatal,1
STATEN ISLAND,OTHER,Fatal,1
BROOKLYN,NAVIG,Non-Fatal,1
BRONX,Amb,Non-Fatal,1
QUEENS,e com,Non-Fatal,1
BRONX,USPS2,Non-Fatal,1
BROOKLYN,DELVI,Non-Fatal,1
BROOKLYN,uhaul,Non-Fatal,1
QUEENS,FREE,Non-Fatal,1
BROOKLYN,moter,Non-Fatal,1
BROOKLYN,TLC,Non-Fatal,1
MANHATTAN,Food,Non-Fatal,1
QUEENS,yello,Non-Fatal,1
MANHATTAN,HORSE CARR,Non-Fatal,1
BROOKLYN,Box t,Non-Fatal,1
BRONX,POSTA,Non-Fatal,1
BRONX,Dump truck,Non-Fatal,1
MANHATTAN,SELF-,Non-Fatal,1
BROOKLYN,MARK,Non-Fatal,1
BRONX,3DOOR,Non-Fatal,1
MANHATTAN,NYC D,Non-Fatal,1
BRONX,FUEL,Non-Fatal,1
QUEENS,UPS t,Non-Fatal,1
QUEENS,bulld,Non-Fatal,1
QUEENS,power,Non-Fatal,1
MANHATTAN,3DC-,Non-Fatal,1
BROOKLYN,UHAUL,Non-Fatal,1
MANHATTAN,omni,Non-Fatal,1
MANHATTAN,GLBEN,Non-Fatal,1
MANHATTAN,SUBUR,Non-Fatal,1
STATEN ISLAND,PSH,Non-Fatal,1
BRONX,TOWER,Non-Fatal,1
STATEN ISLAND,TRANS,Non-Fatal,1
STATEN ISLAND,DELV,Non-Fatal,1
MANHATTAN,Armored Truck,Fatal,1
STATEN ISLAND,unkno,Non-Fatal,1
BRONX,CITY,Non-Fatal,1
QUEENS,USPS # 487,Non-Fatal,1
MANHATTAN,NTTRL,Non-Fatal,1
BRONX,197209,Non-Fatal,1
BROOKLYN,GOV V,Non-Fatal,1
MANHATTAN,unkow,Non-Fatal,1
QUEENS,dodge,Non-Fatal,1
BROOKLYN,firet,Non-Fatal,1
MANHATTAN,N/A,Non-Fatal,1
MANHATTAN,FLED,Non-Fatal,1
