hour,day_of_week,contributing_factor,total_pedestrian_injuries
14,1,Driver Inattention/Distraction,139
14,1,Failure to Yield Right-of-Way,139
0,1,Driver Inattention/Distraction,137
23,7,Driver Inattention/Distraction,137
22,4,Failure to Yield Right-of-Way,136
22,4,Driver Inattention/Distraction,136
13,1,Driver Inattention/Distraction,136
23,6,Driver Inattention/Distraction,135
22,5,Driver Inattention/Distraction,135
12,1,Driver Inattention/Distraction,134
6,3,Driver Inattention/Distraction,134
21,1,Failure to Yield Right-of-Way,133
8,7,Unspecified,132
22,2,Driver Inattention/Distraction,131
22,3,Driver Inattention/Distraction,130
10,1,Unspecified,129
2,1,Unspecified,129
0,5,Driver Inattention/Distraction,128
10,7,Failure to Yield Right-of-Way,128
12,1,Failure to Yield Right-of-Way,127
14,7,Failure to Yield Right-of-Way,127
6,4,Failure to Yield Right-of-Way,127
9,7,Driver Inattention/Distraction,126
22,6,Failure to Yield Right-of-Way,126
6,6,Driver Inattention/Distraction,125
22,1,Failure to Yield Right-of-Way,125
11,1,Driver Inattention/Distraction,125
6,5,Driver Inattention/Distraction,122
23,4,Driver Inattention/Distraction,121
13,1,Failure to Yield Right-of-Way,120
2,7,Unspecified,120
11,1,Failure to Yield Right-of-Way,118
22,1,Driver Inattention/Distraction,117
22,2,Failure to Yield Right-of-Way,116
0,6,Driver Inattention/Distraction,116
9,7,Failure to Yield Right-of-Way,116
6,4,Driver Inattention/Distraction,115
3,1,Unspecified,114
10,1,Failure to Yield Right-of-Way,113
23,5,Driver Inattention/Distraction,112
10,7,Driver Inattention/Distraction,110
23,1,Driver Inattention/Distraction,109
0,3,Unspecified,108
22,3,Failure to Yield Right-of-Way,108
0,4,Driver Inattention/Distraction,107
4,7,Unspecified,107
10,1,Driver Inattention/Distraction,105
0,2,Driver Inattention/Distraction,104
3,7,Unspecified,103
0,7,Failure to Yield Right-of-Way,102
9,1,Unspecified,100
23,7,Failure to Yield Right-of-Way,100
0,3,Driver Inattention/Distraction,95
0,6,Failure to Yield Right-of-Way,93
0,3,Failure to Yield Right-of-Way,91
23,5,Failure to Yield Right-of-Way,89
23,4,Failure to Yield Right-of-Way,89
23,3,Failure to Yield Right-of-Way,89
14,6,Backing Unsafely,86
9,1,Driver Inattention/Distraction,84
8,7,Failure to Yield Right-of-Way,84
9,1,Failure to Yield Right-of-Way,83
23,3,Driver Inattention/Distraction,83
5,2,Unspecified,82
0,1,Failure to Yield Right-of-Way,81
16,5,Backing Unsafely,81
0,5,Failure to Yield Right-of-Way,80
8,1,Unspecified,80
1,1,Driver Inattention/Distraction,80
12,4,Backing Unsafely,80
23,2,Driver Inattention/Distraction,79
23,6,Failure to Yield Right-of-Way,78
10,3,Backing Unsafely,78
14,5,Backing Unsafely,77
14,3,Backing Unsafely,77
0,4,Failure to Yield Right-of-Way,76
13,2,Backing Unsafely,76
17,5,Backing Unsafely,75
8,7,Driver Inattention/Distraction,75
5,3,Unspecified,75
17,3,Backing Unsafely,75
23,1,Failure to Yield Right-of-Way,74
16,2,Backing Unsafely,73
1,7,Driver Inattention/Distraction,72
12,2,Backing Unsafely,72
11,6,Backing Unsafely,72
6,7,Unspecified,72
15,2,Backing Unsafely,71
0,2,Failure to Yield Right-of-Way,71
5,6,Unspecified,70
1,6,Unspecified,69
5,5,Unspecified,69
7,7,Unspecified,69
1,2,Unspecified,68
5,4,Unspecified,68
16,6,Backing Unsafely,68
9,5,Backing Unsafely,67
11,4,Backing Unsafely,66
13,5,Backing Unsafely,66
8,6,Backing Unsafely,65
15,4,Backing Unsafely,65
17,4,Backing Unsafely,65
5,1,Unspecified,65
15,5,Backing Unsafely,64
17,6,Backing Unsafely,64
16,3,Backing Unsafely,64
13,6,Backing Unsafely,63
3,1,Driver Inattention/Distraction,63
12,5,Backing Unsafely,62
1,4,Unspecified,61
12,7,Backing Unsafely,61
14,4,Backing Unsafely,60
9,6,Backing Unsafely,60
13,4,Backing Unsafely,60
14,2,Backing Unsafely,60
23,2,Failure to Yield Right-of-Way,60
2,1,Driver Inattention/Distraction,60
5,7,Unspecified,60
12,3,Backing Unsafely,59
9,3,Backing Unsafely,58
13,3,Backing Unsafely,58
4,7,Driver Inattention/Distraction,58
18,6,Backing Unsafely,58
1,5,Unspecified,58
15,7,Backing Unsafely,57
11,5,Backing Unsafely,57
16,4,Backing Unsafely,57
10,6,Backing Unsafely,57
17,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,57
4,1,Driver Inattention/Distraction,56
8,2,Backing Unsafely,56
15,6,Backing Unsafely,56
6,1,Unspecified,55
5,2,Driver Inattention/Distraction,55
5,6,Failure to Yield Right-of-Way,55
3,7,Driver Inattention/Distraction,55
5,4,Failure to Yield Right-of-Way,55
5,6,Driver Inattention/Distraction,55
5,3,Driver Inattention/Distraction,54
15,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,54
16,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,54
4,2,Unspecified,53
1,7,Failure to Yield Right-of-Way,52
10,5,Backing Unsafely,52
18,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,52
9,2,Backing Unsafely,52
1,1,Failure to Yield Right-of-Way,52
8,4,Backing Unsafely,52
14,7,Backing Unsafely,51
8,2,Glare,51
14,1,Backing Unsafely,51
17,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,51
2,6,Unspecified,51
19,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,50
2,2,Unspecified,50
9,4,Backing Unsafely,50
5,3,Failure to Yield Right-of-Way,50
11,2,Backing Unsafely,50
4,6,Unspecified,49
12,6,Backing Unsafely,49
18,2,Backing Unsafely,49
18,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,49
11,3,Backing Unsafely,49
15,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,49
19,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,48
8,4,Glare,48
16,7,Backing Unsafely,47
18,3,Backing Unsafely,47
8,1,Failure to Yield Right-of-Way,47
5,2,Failure to Yield Right-of-Way,47
6,7,Driver Inattention/Distraction,47
2,7,Driver Inattention/Distraction,47
19,6,Backing Unsafely,46
18,4,Backing Unsafely,46
3,6,Unspecified,45
17,2,Backing Unsafely,45
11,7,Backing Unsafely,45
8,5,Glare,44
2,5,Unspecified,44
1,6,Driver Inattention/Distraction,44
17,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,44
18,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,44
7,7,Driver Inattention/Distraction,43
15,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,43
18,5,Backing Unsafely,43
16,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,43
17,1,Backing Unsafely,43
15,3,Backing Unsafely,43
17,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,43
13,1,Backing Unsafely,42
1,3,Unspecified,42
5,4,Driver Inattention/Distraction,42
13,7,Backing Unsafely,42
14,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,42
20,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,42
5,5,Driver Inattention/Distraction,41
15,1,Backing Unsafely,41
15,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,41
7,1,Unspecified,41
8,1,Driver Inattention/Distraction,41
17,7,Backing Unsafely,41
18,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,41
16,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,40
8,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,40
16,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,40
19,3,Backing Unsafely,40
18,7,Backing Unsafely,40
6,7,Failure to Yield Right-of-Way,40
18,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,40
16,1,Backing Unsafely,40
12,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,39
8,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,39
20,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,39
18,1,Backing Unsafely,39
5,5,Failure to Yield Right-of-Way,39
14,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,39
3,4,Unspecified,39
8,6,Glare,39
10,2,Backing Unsafely,39
8,5,Backing Unsafely,38
19,5,Backing Unsafely,38
4,3,Unspecified,38
19,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,38
19,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,38
3,2,Unspecified,38
2,7,Failure to Yield Right-of-Way,38
2,1,Failure to Yield Right-of-Way,38
2,4,Unspecified,37
3,1,Failure to Yield Right-of-Way,37
8,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,37
10,4,Backing Unsafely,37
6,1,Driver Inattention/Distraction,37
14,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,37
7,7,Failure to Yield Right-of-Way,37
0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,36
8,3,Backing Unsafely,36
17,3,Traffic Control Disregarded,36
5,7,Driver Inattention/Distraction,36
10,7,Backing Unsafely,36
19,2,Backing Unsafely,36
4,5,Unspecified,36
17,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,36
4,1,Alcohol Involvement,35
17,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,35
20,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,35
20,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,34
20,5,Backing Unsafely,34
18,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,34
19,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,34
19,1,Backing Unsafely,34
11,1,Backing Unsafely,34
17,2,View Obstructed/Limited,33
16,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,33
7,3,Backing Unsafely,33
20,2,Unsafe Speed,32
17,4,Traffic Control Disregarded,32
15,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,32
4,4,Unspecified,32
18,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,32
1,2,Driver Inattention/Distraction,31
8,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,31
4,1,Failure to Yield Right-of-Way,31
20,7,Backing Unsafely,31
19,7,Backing Unsafely,31
19,4,View Obstructed/Limited,31
13,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,31
15,2,Traffic Control Disregarded,30
0,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,30
21,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,30
18,4,Passenger Distraction,30
20,1,Backing Unsafely,30
18,5,View Obstructed/Limited,30
18,2,View Obstructed/Limited,30
13,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,30
8,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,29
19,4,Backing Unsafely,29
18,7,View Obstructed/Limited,29
18,4,Traffic Control Disregarded,29
19,7,Unsafe Speed,29
5,1,Driver Inattention/Distraction,29
20,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,29
1,6,Failure to Yield Right-of-Way,29
12,1,Backing Unsafely,29
14,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,28
1,5,Driver Inattention/Distraction,28
15,6,Unsafe Speed,28
19,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,28
7,5,Glare,28
7,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,28
17,5,Passenger Distraction,28
9,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,28
21,7,Backing Unsafely,28
8,3,Glare,28
2,5,Driver Inattention/Distraction,28
18,6,View Obstructed/Limited,28
