hour,day_of_week,contributing_factor,total_pedestrian_injuries
6,2,Following Too Closely,1
21,5,Unsafe Lane Changing,1
15,1,Brakes Defective,1
6,2,Passing or Lane Usage Improper,1
15,5,Unsafe Lane Changing,1
13,1,Obstruction/Debris,1
17,7,Fatigued/Drowsy,1
18,5,Unsafe Lane Changing,1
11,1,Alcohol Involvement,1
17,7,Unsafe Lane Changing,1
23,7,Brakes Defective,1
8,7,Outside Car Distraction,1
18,3,Steering Failure,1
9,6,Lost Consciousness,1
20,5,Fatigued/Drowsy,1
1,6,Unsafe Lane Changing,1
23,7,Lane Marking Improper/Inadequate,1
10,1,Fatigued/Drowsy,1
15,3,Obstruction/Debris,1
11,4,Illness,1
15,7,Pavement Slippery,1
2,1,View Obstructed/Limited,1
4,1,Passing Too Closely,1
18,1,Traffic Control Device Improper/Non-Working,1
12,3,Obstruction/Debris,1
22,7,Oversized Vehicle,1
9,7,Reaction to Uninvolved Vehicle,1
13,3,Obstruction/Debris,1
14,3,Accelerator Defective,1
3,6,Passing Too Closely,1
9,2,Lost Consciousness,1
5,7,Unsafe Lane Changing,1
15,5,Brakes Defective,1
2,3,Obstruction/Debris,1
3,2,Other Vehicular,1
7,4,Failure to Keep Right,1
17,6,Fell Asleep,1
16,4,Illnes,1
0,2,Fell Asleep,1
0,4,Oversized Vehicle,1
14,3,Failure to Keep Right,1
10,1,Alcohol Involvement,1
20,6,Glare,1
10,6,Alcohol Involvement,1
5,3,Obstruction/Debris,1
2,7,Reaction to Uninvolved Vehicle,1
7,5,Obstruction/Debris,1
0,5,Glare,1
5,5,Reaction to Uninvolved Vehicle,1
18,7,Failure to Keep Right,1
16,4,Lost Consciousness,1
9,2,80,1
9,2,Prescription Medication,1
0,1,Obstruction/Debris,1
15,1,Pavement Slippery,1
21,1,Lost Consciousness,1
3,7,Oversized Vehicle,1
16,5,Brakes Defective,1
10,6,Physical Disability,1
8,3,Lost Consciousness,1
7,6,Outside Car Distraction,1
7,7,Prescription Medication,1
14,2,Outside Car Distraction,1
19,5,Failure to Keep Right,1
14,2,Pavement Slippery,1
15,3,Other Electronic Device,1
7,7,Reaction to Uninvolved Vehicle,1
22,3,Prescription Medication,1
0,6,Driverless/Runaway Vehicle,1
19,7,Accelerator Defective,1
16,1,Tire Failure/Inadequate,1
3,1,Physical Disability,1
7,6,Obstruction/Debris,1
5,5,Driver Inexperience,1
22,3,Outside Car Distraction,1
0,5,Physical Disability,1
8,6,Illness,1
1,7,Tire Failure/Inadequate,1
14,1,Physical Disability,1
15,6,Obstruction/Debris,1
16,1,Prescription Medication,1
11,4,Lane Marking Improper/Inadequate,1
22,7,Reaction to Other Uninvolved Vehicle,1
23,6,Obstruction/Debris,1
8,4,Illness,1
17,4,Illness,1
23,5,Prescription Medication,1
11,2,Illness,1
23,3,Other Electronic Device,1
18,7,Reaction to Other Uninvolved Vehicle,1
8,3,Cell Phone (hand-Held),1
15,4,Drugs (Illegal),1
21,6,Illness,1
0,3,Other Electronic Device,1
21,1,Illnes,1
15,3,Cell Phone (hand-Held),1
17,5,Cell Phone (hand-Held),1
3,1,Oversized Vehicle,1
10,5,Drugs (Illegal),1
5,2,Aggressive Driving/Road Rage,1
22,7,Windshield Inadequate,1
11,4,Accelerator Defective,1
19,6,Driverless/Runaway Vehicle,1
22,3,Accelerator Defective,1
18,2,Tow Hitch Defective,1
12,1,Tinted Windows,1
16,6,Shoulders Defective/Improper,1
15,7,Windshield Inadequate,1
0,4,Other Lighting Defects,1
2,1,Texting,1
3,1,Turning Improperly,1
21,5,Following Too Closely,1
7,5,Oversized Vehicle,1
7,1,Driver Inexperience,1
11,7,Reaction to Uninvolved Vehicle,1
5,7,View Obstructed/Limited,1
10,4,Obstruction/Debris,1
14,2,Physical Disability,1
11,3,Tire Failure/Inadequate,1
6,1,Reaction to Uninvolved Vehicle,1
9,6,Failure to Keep Right,1
10,3,Prescription Medication,1
11,6,Reaction to Other Uninvolved Vehicle,1
21,2,Obstruction/Debris,1
12,5,Illnes,1
5,4,Outside Car Distraction,1
8,2,Illnes,1
16,2,Traffic Control Device Improper/Non-Working,1
22,7,Illness,1
17,2,Drugs (Illegal),1
16,5,Drugs (Illegal),1
9,2,Cell Phone (hands-free),1
6,5,Windshield Inadequate,1
21,6,Pavement Defective,0
5,5,Following Too Closely,0
19,4,Failure to Keep Right,0
14,5,Tire Failure/Inadequate,0
16,6,Unsafe Lane Changing,0
23,4,Unsafe Lane Changing,0
0,3,Unsafe Lane Changing,0
13,1,Tire Failure/Inadequate,0
8,1,Animals Action,0
22,6,Brakes Defective,0
8,6,Pavement Defective,0
23,1,Unsafe Lane Changing,0
15,1,Unsafe Lane Changing,0
13,4,Cell Phone (hand-Held),0
8,1,Passing Too Closely,0
6,4,Reaction to Uninvolved Vehicle,0
16,5,Fell Asleep,0
1,2,Pavement Slippery,0
12,1,Lost Consciousness,0
7,6,Following Too Closely,0
17,2,Unsafe Lane Changing,0
0,1,Lost Consciousness,0
5,1,Fell Asleep,0
0,2,Tire Failure/Inadequate,0
3,5,Unsafe Lane Changing,0
6,1,Backing Unsafely,0
12,7,Following Too Closely,0
14,6,Cell Phone (hand-Held),0
13,2,Lane Marking Improper/Inadequate,0
22,6,Steering Failure,0
7,4,Pavement Defective,0
21,2,Cell Phone (hand-Held),0
3,7,Fell Asleep,0
14,3,Oversized Vehicle,0
0,1,Unsafe Lane Changing,0
15,7,Failure to Keep Right,0
10,1,Unsafe Lane Changing,0
4,2,Oversized Vehicle,0
2,5,Drugs (illegal),0
2,4,Following Too Closely,0
7,7,Passing Too Closely,0
13,6,Failure to Keep Right,0
1,1,Failure to Keep Right,0
5,1,Unsafe Lane Changing,0
1,5,Animals Action,0
16,6,Fell Asleep,0
16,3,Lost Consciousness,0
0,2,Oversized Vehicle,0
16,2,Fatigued/Drowsy,0
7,2,Outside Car Distraction,0
5,7,Fell Asleep,0
19,5,Accelerator Defective,0
17,4,Pavement Defective,0
13,5,Cell Phone (hand-Held),0
2,4,Driver Inexperience,0
15,3,Pavement Defective,0
16,1,Unsafe Lane Changing,0
1,7,Fell Asleep,0
11,5,Other Lighting Defects,0
3,4,Pavement Defective,0
18,2,Obstruction/Debris,0
17,2,Fell Asleep,0
2,7,Lane Marking Improper/Inadequate,0
0,4,Pavement Defective,0
8,2,Steering Failure,0
5,2,Following Too Closely,0
10,3,Fell Asleep,0
11,2,Accelerator Defective,0
19,2,Pavement Defective,0
14,5,Fatigued/Drowsy,0
1,2,Other Vehicular,0
8,7,Steering Failure,0
0,6,Oversized Vehicle,0
5,3,Passing Too Closely,0
2,2,Cell Phone (hand-Held),0
9,5,Steering Failure,0
21,4,Tire Failure/Inadequate,0
18,7,Brakes Defective,0
10,2,Fell Asleep,0
12,3,Fell Asleep,0
12,1,Fatigued/Drowsy,0
13,7,Failure to Keep Right,0
17,5,Animals Action,0
23,3,Reaction to Uninvolved Vehicle,0
2,4,Fatigued/Drowsy,0
17,1,Oversized Vehicle,0
9,3,Alcohol Involvement,0
5,1,Passing or Lane Usage Improper,0
9,7,Animals Action,0
5,4,Brakes Defective,0
7,5,Fell Asleep,0
5,4,Obstruction/Debris,0
18,2,Fell Asleep,0
16,4,Tire Failure/Inadequate,0
6,6,Lost Consciousness,0
6,6,Driverless/Runaway Vehicle,0
4,2,Driverless/Runaway Vehicle,0
12,3,Lost Consciousness,0
4,6,Fatigued/Drowsy,0
4,4,Outside Car Distraction,0
3,4,Unsafe Lane Changing,0
6,7,Unsafe Lane Changing,0
4,1,Illness,0
3,6,Cell Phone (hand-Held),0
4,1,Reaction to Uninvolved Vehicle,0
17,7,Steering Failure,0
0,4,Traffic Control Device Improper/Non-Working,0
11,2,Outside Car Distraction,0
4,1,Traffic Control Device Improper/Non-Working,0
18,5,Lane Marking Improper/Inadequate,0
23,6,Lost Consciousness,0
2,5,Unsafe Lane Changing,0
4,5,Unsafe Lane Changing,0
7,3,Animals Action,0
6,2,Brakes Defective,0
20,7,Accelerator Defective,0
8,1,Pavement Slippery,0
4,3,Pavement Slippery,0
1,5,Reaction to Uninvolved Vehicle,0
6,7,Animals Action,0
15,2,Lost Consciousness,0
13,5,Animals Action,0
23,3,Fatigued/Drowsy,0
15,7,Animals Action,0
10,7,Lost Consciousness,0
12,4,Failure to Keep Right,0
10,3,Lane Marking Improper/Inadequate,0
21,5,Failure to Keep Right,0
6,1,Lost Consciousness,0
0,6,Pavement Defective,0
9,4,Accelerator Defective,0
23,3,Lost Consciousness,0
13,1,Animals Action,0
8,3,Illness,0
14,4,Pavement Defective,0
18,7,Fell Asleep,0
15,3,Tow Hitch Defective,0
0,3,Traffic Control Device Improper/Non-Working,0
19,2,Driverless/Runaway Vehicle,0
11,5,Steering Failure,0
12,7,Physical Disability,0
18,4,Pavement Defective,0
22,7,Pavement Defective,0
13,5,Obstruction/Debris,0
12,3,Drugs (illegal),0
2,3,Failure to Keep Right,0
14,2,Texting,0
23,2,Reaction to Uninvolved Vehicle,0
6,7,Reaction to Other Uninvolved Vehicle,0
13,5,Illnes,0
19,1,Animals Action,0
8,6,Tire Failure/Inadequate,0
23,1,Cell Phone (hand-Held),0
14,3,Fell Asleep,0
20,4,Tire Failure/Inadequate,0
23,5,Steering Failure,0
2,2,Tire Failure/Inadequate,0
22,7,Traffic Control Device Improper/Non-Working,0
5,3,Outside Car Distraction,0
21,3,Brakes Defective,0
19,6,Failure to Keep Right,0
9,1,Lane Marking Improper/Inadequate,0
18,5,Steering Failure,0
11,5,Vehicle Vandalism,0
13,5,Failure to Keep Right,0
14,6,Drugs (Illegal),0
5,5,Fell Asleep,0
11,1,Failure to Keep Right,0
1,6,Oversized Vehicle,0
22,4,Illnes,0
9,5,Alcohol Involvement,0
6,5,Traffic Control Device Improper/Non-Working,0
22,2,Fatigued/Drowsy,0
13,4,Reaction to Other Uninvolved Vehicle,0
9,4,Pavement Defective,0
11,4,Prescription Medication,0
10,2,Failure to Keep Right,0
7,2,Pavement Defective,0
12,2,Brakes Defective,0
3,7,Glare,0
1,6,Pavement Defective,0
18,2,Accelerator Defective,0
21,3,Steering Failure,0
4,4,Tinted Windows,0
8,3,Other Lighting Defects,0
17,6,Windshield Inadequate,0
12,7,Reaction to Other Uninvolved Vehicle,0
10,6,Obstruction/Debris,0
20,5,Drugs (Illegal),0
1,3,Traffic Control Device Improper/Non-Working,0
17,4,Animals Action,0
19,5,Fell Asleep,0
23,4,Animals Action,0
3,6,Driver Inexperience,0
15,3,Using On Board Navigation Device,0
22,3,Illnes,0
19,6,80,0
22,3,Lost Consciousness,0
3,6,Brakes Defective,0
10,1,Drugs (illegal),0
22,5,Steering Failure,0
15,4,Using On Board Navigation Device,0
23,3,Physical Disability,0
3,5,Oversized Vehicle,0
10,7,Physical Disability,0
3,2,Fell Asleep,0
0,2,Prescription Medication,0
15,1,Tire Failure/Inadequate,0
5,1,Obstruction/Debris,0
1,3,Outside Car Distraction,0
13,6,80,0
17,5,Other Electronic Device,0
13,4,Illness,0
13,5,Tire Failure/Inadequate,0
17,5,Illnes,0
7,3,Pavement Defective,0
3,5,Drugs (illegal),0
1,4,Obstruction/Debris,0
10,4,Alcohol Involvement,0
4,5,Driver Inexperience,0
1,3,Reaction to Uninvolved Vehicle,0
23,6,Lane Marking Improper/Inadequate,0
20,2,Animals Action,0
8,3,Traffic Control Device Improper/Non-Working,0
4,3,Tire Failure/Inadequate,0
23,4,Reaction to Other Uninvolved Vehicle,0
0,2,Animals Action,0
16,1,Traffic Control Device Improper/Non-Working,0
8,1,Illnes,0
1,1,Reaction to Other Uninvolved Vehicle,0
13,7,Other Electronic Device,0
3,7,Brakes Defective,0
7,2,Driverless/Runaway Vehicle,0
23,2,Physical Disability,0
14,7,Reaction to Other Uninvolved Vehicle,0
0,4,Illnes,0
15,2,Using On Board Navigation Device,0
16,2,Failure to Keep Right,0
17,2,Cell Phone (hand-Held),0
0,5,Tire Failure/Inadequate,0
4,4,Steering Failure,0
10,7,Lane Marking Improper/Inadequate,0
1,1,Prescription Medication,0
19,1,Other Electronic Device,0
3,2,Pavement Defective,0
22,1,Failure to Keep Right,0
18,4,Illness,0
6,4,Reaction to Other Uninvolved Vehicle,0
14,6,Listening/Using Headphones,0
10,1,Lane Marking Improper/Inadequate,0
16,1,Steering Failure,0
1,6,Steering Failure,0
0,6,Tire Failure/Inadequate,0
13,6,Fell Asleep,0
23,4,Steering Failure,0
2,5,Animals Action,0
5,5,Obstruction/Debris,0
9,6,1,0
3,2,View Obstructed/Limited,0
10,5,Drugs (illegal),0
7,7,Oversized Vehicle,0
23,3,Steering Failure,0
17,7,Tire Failure/Inadequate,0
4,2,Outside Car Distraction,0
16,4,Cell Phone (hand-Held),0
23,3,Accelerator Defective,0
12,1,Failure to Keep Right,0
21,1,Glare,0
0,3,Drugs (Illegal),0
12,4,Tire Failure/Inadequate,0
17,3,Listening/Using Headphones,0
1,5,Illnes,0
21,3,Other Electronic Device,0
3,7,Lost Consciousness,0
9,7,Steering Failure,0
20,7,Lane Marking Improper/Inadequate,0
21,7,Illness,0
6,5,Failure to Keep Right,0
5,3,Failure to Keep Right,0
10,2,Lane Marking Improper/Inadequate,0
12,7,Pavement Defective,0
23,3,Lane Marking Improper/Inadequate,0
22,1,Headlights Defective,0
23,1,Oversized Vehicle,0
14,5,Pavement Defective,0
11,4,Tire Failure/Inadequate,0
8,7,Illness,0
22,4,Obstruction/Debris,0
12,3,Other Electronic Device,0
22,2,Failure to Keep Right,0
11,6,Using On Board Navigation Device,0
16,6,Steering Failure,0
11,6,Drugs (Illegal),0
7,3,Illnes,0
18,3,Traffic Control Device Improper/Non-Working,0
0,5,Animals Action,0
20,1,Illness,0
3,1,Drugs (illegal),0
13,6,Tire Failure/Inadequate,0
3,6,Failure to Keep Right,0
22,4,Other Electronic Device,0
12,4,Reaction to Other Uninvolved Vehicle,0
23,1,Illness,0
6,7,Illnes,0
11,1,Other Electronic Device,0
13,2,Other Electronic Device,0
14,3,Driverless/Runaway Vehicle,0
13,7,Animals Action,0
9,1,Physical Disability,0
8,3,Reaction to Other Uninvolved Vehicle,0
18,5,Accelerator Defective,0
11,7,Animals Action,0
10,5,Lane Marking Improper/Inadequate,0
20,5,Illnes,0
1,3,Illness,0
6,7,Oversized Vehicle,0
23,3,Other Lighting Defects,0
1,6,Prescription Medication,0
10,5,Using On Board Navigation Device,0
4,3,Oversized Vehicle,0
0,4,Illness,0
7,7,Lane Marking Improper/Inadequate,0
19,7,Cell Phone (hands-free),0
11,3,Drugs (Illegal),0
21,1,Accelerator Defective,0
0,3,Illness,0
21,7,Headlights Defective,0
5,6,Oversized Vehicle,0
8,6,Animals Action,0
18,1,Using On Board Navigation Device,0
23,5,Cell Phone (hands-free),0
23,4,Cell Phone (hands-free),0
8,5,Drugs (Illegal),0
14,7,Illness,0
14,6,80,0
9,7,Reaction to Other Uninvolved Vehicle,0
14,4,Eating or Drinking,0
4,2,Cell Phone (hands-free),0
0,1,Accelerator Defective,0
12,4,Other Lighting Defects,0
5,7,Drugs (illegal),0
6,7,Obstruction/Debris,0
18,2,Reaction to Other Uninvolved Vehicle,0
22,3,Tow Hitch Defective,0
2,7,Illnes,0
0,5,Illnes,0
11,1,Lane Marking Improper/Inadequate,0
6,4,Tire Failure/Inadequate,0
6,1,Traffic Control Device Improper/Non-Working,0
10,7,Other Electronic Device,0
13,1,Vehicle Vandalism,0
3,6,Illness,0
11,4,Cell Phone (hands-free),0
21,2,Animals Action,0
7,7,Cell Phone (hands-free),0
19,6,Illnes,0
14,5,Eating or Drinking,0
4,5,Failure to Keep Right,0
12,1,Drugs (illegal),0
15,2,Illness,0
20,7,Driverless/Runaway Vehicle,0
13,4,Cell Phone (hands-free),0
20,5,Illness,0
5,2,Drugs (Illegal),0
3,3,Reaction to Other Uninvolved Vehicle,0
21,2,Illnes,0
4,7,Illnes,0
16,5,Windshield Inadequate,0
10,2,Drugs (Illegal),0
8,4,Texting,0
15,7,Cell Phone (hands-free),0
12,6,Animals Action,0
6,5,Drugs (illegal),0
10,4,Cell Phone (hand-Held),0
0,7,Tinted Windows,0
18,2,Lane Marking Improper/Inadequate,0
16,3,Other Lighting Defects,0
18,2,80,0
2,3,Prescription Medication,0
12,5,Headlights Defective,0
9,6,Reaction to Other Uninvolved Vehicle,0
1,4,Lane Marking Improper/Inadequate,0
6,7,80,0
12,6,Reaction to Other Uninvolved Vehicle,0
14,5,Other Lighting Defects,0
23,7,Drugs (Illegal),0
8,2,Headlights Defective,0
22,7,Lane Marking Improper/Inadequate,0
5,1,Traffic Control Device Improper/Non-Working,0
17,7,Other Lighting Defects,0
2,4,Illnes,0
15,6,Cell Phone (hand-Held),0
1,4,Texting,0
22,4,Lane Marking Improper/Inadequate,0
2,6,Drugs (Illegal),0
1,4,Traffic Control Device Improper/Non-Working,0
10,7,Drugs (Illegal),0
11,7,Other Lighting Defects,0
12,1,Reaction to Other Uninvolved Vehicle,0
2,6,Windshield Inadequate,0
17,3,Vehicle Vandalism,0
5,6,Illnes,0
20,5,Using On Board Navigation Device,0
2,5,Brakes Defective,0
19,2,Drugs (illegal),0
11,2,Tow Hitch Defective,0
0,7,Other Lighting Defects,0
8,6,Drugs (Illegal),0
0,6,Illnes,0
2,1,Cell Phone (hand-Held),0
12,2,Listening/Using Headphones,0
3,6,Windshield Inadequate,0
17,2,Traffic Control Device Improper/Non-Working,0
0,1,Eating or Drinking,0
8,2,Cell Phone (hands-free),0
12,3,Shoulders Defective/Improper,0
7,7,Cell Phone (hand-held),0
11,3,Eating or Drinking,0
10,4,Drugs (Illegal),0
1,6,Traffic Control Device Improper/Non-Working,0
22,6,Windshield Inadequate,0
5,2,Illness,0
3,3,Physical Disability,0
9,2,Vehicle Vandalism,0
5,3,Accelerator Defective,0
1,4,Cell Phone (hands-free),0
7,2,Eating or Drinking,0
17,5,Using On Board Navigation Device,0
15,4,Traffic Control Device Improper/Non-Working,0
14,3,Cell Phone (hand-Held),0
1,2,Drugs (illegal),0
6,5,Vehicle Vandalism,0
5,1,Drugs (Illegal),0
20,3,Driverless/Runaway Vehicle,0
4,4,Other Electronic Device,0
17,4,1,0
1,4,Vehicle Vandalism,0
11,7,Using On Board Navigation Device,0
8,5,Tow Hitch Defective,0
6,5,Cell Phone (hand-Held),0
15,6,Drugs (Illegal),0
23,4,Illness,0
21,3,Tinted Windows,0
22,1,Drugs (Illegal),0
17,1,Drugs (Illegal),0
3,5,Vehicle Vandalism,0
1,2,Traffic Control Device Improper/Non-Working,0
23,5,Eating or Drinking,0
9,3,Windshield Inadequate,0
6,3,Lane Marking Improper/Inadequate,0
9,5,1,0
11,2,Listening/Using Headphones,0
12,3,Cell Phone (hand-held),0
5,7,Tinted Windows,0
20,7,Drugs (illegal),0
20,1,Traffic Control Device Improper/Non-Working,0
4,2,Drugs (Illegal),0
7,4,Windshield Inadequate,0
6,5,Cell Phone (hands-free),0
2,3,Lane Marking Improper/Inadequate,0
2,5,Drugs (Illegal),0
22,7,Texting,0
20,5,Windshield Inadequate,0
7,1,Cell Phone (hand-Held),0
20,3,Cell Phone (hand-held),0
16,5,Tow Hitch Defective,0
12,7,Cell Phone (hand-held),0
23,5,Accelerator Defective,0
22,3,Cell Phone (hands-free),0
8,2,Shoulders Defective/Improper,0
23,3,Vehicle Vandalism,0
21,3,Other Lighting Defects,0
4,7,Accelerator Defective,0
14,2,Headlights Defective,0
23,4,Drugs (Illegal),0
1,7,Other Lighting Defects,0
7,1,Eating or Drinking,0
4,3,Lane Marking Improper/Inadequate,0
15,3,Eating or Drinking,0
6,7,Other Lighting Defects,0
5,7,Lane Marking Improper/Inadequate,0
20,6,Texting,0
12,4,Tinted Windows,0
7,1,Drugs (illegal),0
23,4,Illnes,0
2,6,Illnes,0
12,4,Eating or Drinking,0
20,2,Cell Phone (hands-free),0
18,3,Listening/Using Headphones,0
3,3,Cell Phone (hand-Held),0
22,1,Tow Hitch Defective,0
5,3,Tinted Windows,0
3,2,Traffic Control Device Improper/Non-Working,0
3,5,Cell Phone (hands-free),0
12,1,Vehicle Vandalism,0
1,6,Headlights Defective,0
3,2,Eating or Drinking,0
14,6,Vehicle Vandalism,0
4,2,Drugs (illegal),0
4,6,Cell Phone (hand-Held),0
7,5,Tinted Windows,0
10,5,Eating or Drinking,0
11,4,Tinted Windows,0
7,6,Tow Hitch Defective,0
15,2,Shoulders Defective/Improper,0
17,6,Oversized Vehicle,0
21,4,Following Too Closely,0
4,1,Fell Asleep,0
1,5,Following Too Closely,0
22,1,Following Too Closely,0
19,1,Tire Failure/Inadequate,0
3,6,Following Too Closely,0
18,1,Unsafe Lane Changing,0
7,4,Tire Failure/Inadequate,0
1,3,Driverless/Runaway Vehicle,0
19,2,Fatigued/Drowsy,0
5,4,Driver Inexperience,0
17,3,Unsafe Lane Changing,0
16,6,Reaction to Uninvolved Vehicle,0
0,5,Unsafe Lane Changing,0
19,2,Fell Asleep,0
0,6,Glare,0
23,5,Reaction to Uninvolved Vehicle,0
9,6,Fell Asleep,0
17,2,Tire Failure/Inadequate,0
6,3,Accelerator Defective,0
12,7,Lane Marking Improper/Inadequate,0
22,1,Unsafe Lane Changing,0
11,3,Unsafe Lane Changing,0
1,5,Unsafe Lane Changing,0
3,6,Physical Disability,0
1,4,Unsafe Lane Changing,0
5,7,Pavement Slippery,0
6,4,Oversized Vehicle,0
1,2,Following Too Closely,0
4,7,Oversized Vehicle,0
14,4,Obstruction/Debris,0
0,5,Following Too Closely,0
2,7,Following Too Closely,0
1,3,Animals Action,0
21,1,Animals Action,0
2,7,Obstruction/Debris,0
23,7,Fell Asleep,0
23,1,Fatigued/Drowsy,0
3,6,Unsafe Lane Changing,0
20,4,Steering Failure,0
22,5,Fatigued/Drowsy,0
10,7,Illnes,0
16,5,Accelerator Defective,0
1,6,Reaction to Uninvolved Vehicle,0
23,6,Unsafe Lane Changing,0
19,1,Cell Phone (hand-Held),0
19,6,Pavement Defective,0
17,6,Failure to Keep Right,0
21,1,Unsafe Lane Changing,0
8,3,Reaction to Uninvolved Vehicle,0
20,3,Fatigued/Drowsy,0
16,5,Pavement Defective,0
7,7,Fell Asleep,0
22,4,Lost Consciousness,0
11,7,Alcohol Involvement,0
13,7,Fell Asleep,0
2,2,Driverless/Runaway Vehicle,0
23,1,Outside Car Distraction,0
22,3,Passing Too Closely,0
5,4,Steering Failure,0
3,7,Following Too Closely,0
23,3,Animals Action,0
19,4,Oversized Vehicle,0
17,2,Failure to Keep Right,0
19,4,Obstruction/Debris,0
12,6,Prescription Medication,0
6,1,Fatigued/Drowsy,0
0,6,Failure to Keep Right,0
6,7,Lost Consciousness,0
18,2,Oversized Vehicle,0
16,6,Obstruction/Debris,0
10,1,Prescription Medication,0
19,1,Fatigued/Drowsy,0
5,5,Fatigued/Drowsy,0
0,4,Lost Consciousness,0
9,3,Accelerator Defective,0
9,5,Lane Marking Improper/Inadequate,0
23,4,Physical Disability,0
12,2,Driverless/Runaway Vehicle,0
10,2,Illnes,0
9,3,Pavement Defective,0
3,3,Following Too Closely,0
5,2,Pavement Defective,0
5,5,Unsafe Lane Changing,0
20,7,Steering Failure,0
5,7,Oversized Vehicle,0
7,2,Animals Action,0
11,1,Unsafe Lane Changing,0
17,6,Accelerator Defective,0
5,6,Steering Failure,0
20,1,Fell Asleep,0
23,6,Oversized Vehicle,0
12,5,Fatigued/Drowsy,0
9,6,Outside Car Distraction,0
11,1,Fell Asleep,0
10,6,Drugs (Illegal),0
23,3,Failure to Keep Right,0
2,6,Fell Asleep,0
9,5,Outside Car Distraction,0
12,7,Drugs (illegal),0
5,6,Failure to Keep Right,0
15,1,Cell Phone (hand-Held),0
15,5,Cell Phone (hand-Held),0
18,5,Fell Asleep,0
11,1,Pavement Defective,0
15,5,Fell Asleep,0
20,3,Brakes Defective,0
7,7,Steering Failure,0
8,3,Animals Action,0
9,7,Oversized Vehicle,0
0,7,Obstruction/Debris,0
8,1,Other Electronic Device,0
5,4,Driverless/Runaway Vehicle,0
10,3,Lost Consciousness,0
4,7,Brakes Defective,0
20,5,Cell Phone (hand-Held),0
0,1,Animals Action,0
18,1,Pavement Defective,0
21,6,Tire Failure/Inadequate,0
3,5,Pavement Defective,0
14,2,Illnes,0
16,5,Tire Failure/Inadequate,0
3,5,Animals Action,0
4,5,Tire Failure/Inadequate,0
8,2,Failure to Keep Right,0
6,1,Failure to Keep Right,0
22,4,Tire Failure/Inadequate,0
10,4,Failure to Keep Right,0
16,1,Accelerator Defective,0
3,4,Oversized Vehicle,0
9,1,Drugs (illegal),0
4,7,Drugs (Illegal),0
1,5,Other Electronic Device,0
0,7,Failure to Keep Right,0
18,7,Fatigued/Drowsy,0
14,3,Drugs (illegal),0
17,6,Lane Marking Improper/Inadequate,0
5,7,Traffic Control Device Improper/Non-Working,0
4,5,Drugs (illegal),0
13,6,Cell Phone (hand-Held),0
17,5,Failure to Keep Right,0
13,2,Obstruction/Debris,0
3,5,Steering Failure,0
11,2,Brakes Defective,0
17,6,Traffic Control Device Improper/Non-Working,0
9,4,Steering Failure,0
7,1,Brakes Defective,0
2,4,Passing Too Closely,0
5,6,Driverless/Runaway Vehicle,0
4,2,Turning Improperly,0
12,2,Accelerator Defective,0
3,3,Driver Inexperience,0
13,5,Pavement Defective,0
2,2,Lost Consciousness,0
11,2,Fell Asleep,0
2,3,Steering Failure,0
1,6,Lost Consciousness,0
8,6,Cell Phone (hands-free),0
14,6,Shoulders Defective/Improper,0
2,7,Fell Asleep,0
5,7,Accelerator Defective,0
23,6,Animals Action,0
9,6,Animals Action,0
2,5,Oversized Vehicle,0
23,1,Driverless/Runaway Vehicle,0
2,5,Following Too Closely,0
3,4,Obstruction/Debris,0
16,7,Pavement Defective,0
20,7,Outside Car Distraction,0
20,2,Illnes,0
22,1,Tire Failure/Inadequate,0
22,1,Lost Consciousness,0
19,3,Illness,0
0,7,Pavement Defective,0
4,3,Fatigued/Drowsy,0
21,5,Illness,0
3,4,Reaction to Other Uninvolved Vehicle,0
15,1,Failure to Keep Right,0
21,4,Drugs (Illegal),0
3,4,Lane Marking Improper/Inadequate,0
13,6,Vehicle Vandalism,0
16,7,Driverless/Runaway Vehicle,0
5,4,Lost Consciousness,0
8,6,Windshield Inadequate,0
14,2,Fell Asleep,0
3,1,Steering Failure,0
23,6,Eating or Drinking,0
10,4,Pavement Defective,0
4,3,Other Vehicular,0
2,6,Lost Consciousness,0
17,1,Accelerator Defective,0
18,3,Pavement Defective,0
21,6,Tow Hitch Defective,0
14,3,Steering Failure,0
8,7,Drugs (illegal),0
12,4,Cell Phone (hands-free),0
1,6,Obstruction/Debris,0
4,6,Failure to Keep Right,0
8,7,Tire Failure/Inadequate,0
15,6,Cell Phone (hands-free),0
4,7,Cell Phone (hand-Held),0
1,7,Brakes Defective,0
8,5,Failure to Keep Right,0
11,5,Reaction to Other Uninvolved Vehicle,0
2,7,Failure to Keep Right,0
9,3,Lane Marking Improper/Inadequate,0
3,3,Passing or Lane Usage Improper,0
21,4,Animals Action,0
0,6,Illness,0
11,6,Pavement Defective,0
17,3,Lane Marking Improper/Inadequate,0
7,4,Other Lighting Defects,0
12,4,Cell Phone (hand-Held),0
23,1,Pavement Defective,0
3,2,Animals Action,0
11,6,Animals Action,0
6,2,Pavement Defective,0
11,6,Accelerator Defective,0
2,2,Other Electronic Device,0
23,7,Cell Phone (hands-free),0
2,3,Fell Asleep,0
19,6,Tire Failure/Inadequate,0
8,6,Reaction to Other Uninvolved Vehicle,0
1,7,Traffic Control Device Improper/Non-Working,0
2,5,Headlights Defective,0
4,5,Outside Car Distraction,0
8,1,Physical Disability,0
15,4,Steering Failure,0
5,5,Tire Failure/Inadequate,0
2,6,Physical Disability,0
20,4,Accelerator Defective,0
